Accident_ID,Date,Time_of_Day,Weather,Road_Condition,Vehicle_Density,Avg_Speed,Driver_Distraction,Traffic_Signal_Status,Vehicles_Involved,Casualties,Claim_Amount,Claim_Severity
2788,2024-02-18 00:00:00,Morning,Haze,Damaged,34,95,None,Working,2,6,764217,Medium
898,2023-10-17 00:00:00,Night,Clear,Dry,59,112,Phone,Working,1,2,32881,Medium
343,2023-07-03 00:00:00,Morning,Clear,Dry,96,37,None,Blinking,1,1,768865,Medium
106,2023-02-26 00:00:00,Morning,Clear,Dry,11,32,Phone,Working,4,9,953219,Medium
4858,2025-06-20 00:00:00,Night,Rain,Wet,63,89,None,Working,2,9,903262,High
2846,2023-05-03 00:00:00,Afternoon,Rain,Dry,63,55,None,Working,5,6,518698,Medium
478,2023-01-10 00:00:00,Evening,Rain,Dry,59,50,None,Not Working,1,1,793992,Low
2773,2023-12-30 00:00:00,Night,Clear,Dry,118,80,Phone,Working,1,2,517522,Medium
797,2025-05-25 00:00:00,Night,Clear,Dry,104,20,None,Working,4,3,862550,Low
2268,2023-11-19 00:00:00,Evening,Clear,Dry,44,20,None,Working,3,3,758929,Low
953,2024-01-10 00:00:00,Morning,Rain,Dry,113,73,Phone,Working,2,3,696636,High
3752,2024-05-13 00:00:00,Night,Clear,Dry,39,46,None,Not Working,4,4,465980,Low
1844,2024-11-13 00:00:00,Evening,Clear,Wet,100,113,None,Working,2,1,323435,Medium
174,2024-06-25 00:00:00,Morning,Clear,Dry,14,106,None,Blinking,2,1,488920,Low
3478,2025-02-16 00:00:00,Evening,Rain,Wet,71,106,None,Working,3,9,780196,High
4395,2025-04-16 00:00:00,Night,Clear,Dry,104,26,None,Not Working,4,6,128336,Medium
2826,2025-11-11 00:00:00,Night,Fog,Dry,47,97,None,Working,3,7,85312,Medium
4647,2025-12-27 00:00:00,Evening,Rain,Water-logged,74,56,None,Working,3,0,438756,Medium
4116,2023-09-05 00:00:00,Afternoon,Clear,Dry,13,40,None,Not Working,4,9,932041,Medium
4026,2024-06-20 00:00:00,Night,Clear,Dry,68,47,Phone,Blinking,2,6,63477,Medium
2321,2024-08-05 00:00:00,Night,Clear,Dry,75,27,Phone,Working,1,1,189259,Low
2702,2024-03-31 00:00:00,Night,Rain,Dry,82,25,None,Blinking,1,8,696720,Medium
836,2025-12-04 00:00:00,Afternoon,Rain,Damaged,113,43,Fatigue,Working,1,7,388539,High
4715,2024-01-26 00:00:00,Evening,Clear,Dry,39,103,None,Working,5,1,898772,Low
1967,2023-08-11 00:00:00,Morning,Fog,Water-logged,10,72,Fatigue,Working,2,7,429851,Medium
4270,2024-07-02 00:00:00,Night,Clear,Dry,70,46,Fatigue,Working,2,5,332632,Medium
3354,2023-09-22 00:00:00,Evening,Clear,Wet,11,61,Phone,Working,5,1,920859,Low
3712,2023-02-18 00:00:00,Evening,Clear,Dry,44,56,None,Working,1,9,81559,Medium
326,2024-05-25 00:00:00,Evening,Rain,Dry,48,56,None,Working,4,9,512736,Medium
4733,2024-10-26 00:00:00,Evening,Clear,Dry,72,99,None,Working,3,0,47732,Medium
4802,2025-04-06 00:00:00,Morning,Clear,Wet,45,59,None,Working,5,8,309373,Medium
1840,2025-11-18 00:00:00,Morning,Haze,Dry,10,91,Phone,Not Working,4,5,379997,Medium
4773,2023-04-07 00:00:00,Morning,Clear,Dry,37,95,Phone,Not Working,5,1,699841,Low
735,2023-06-19 00:00:00,Afternoon,Rain,Dry,86,86,Fatigue,Working,1,0,352820,Medium
2637,2024-04-18 00:00:00,Night,Clear,Wet,113,39,None,Not Working,5,6,113291,Medium
4736,2024-09-13 00:00:00,Morning,Rain,Dry,94,30,Other,Not Working,4,2,842670,Medium
1565,2024-07-22 00:00:00,Night,Clear,Wet,39,106,Fatigue,Not Working,3,2,183071,Medium
3300,2025-06-04 00:00:00,Night,Fog,Dry,47,110,Other,Working,4,2,795275,Medium
3522,2025-07-27 00:00:00,Afternoon,Clear,Dry,56,79,Other,Working,3,8,537081,Medium
4134,2024-01-19 00:00:00,Evening,Clear,Dry,98,78,Phone,Blinking,3,0,94835,Medium
295,2024-04-25 00:00:00,Morning,Rain,Dry,92,23,Phone,Working,1,7,828443,Medium
3134,2023-06-17 00:00:00,Evening,Clear,Dry,69,118,None,Working,2,5,96679,Medium
2777,2024-03-09 00:00:00,Morning,Clear,Dry,42,112,Fatigue,Not Working,3,2,133390,Medium
892,2023-12-05 00:00:00,Night,Rain,Dry,37,69,Fatigue,Working,3,3,97856,Medium
732,2024-11-10 00:00:00,Night,Clear,Water-logged,92,64,None,Not Working,2,4,727044,Medium
3959,2023-03-31 00:00:00,Morning,Rain,Wet,63,107,None,Working,3,6,286579,High
1946,2023-04-18 00:00:00,Evening,Rain,Wet,93,31,Phone,Working,4,7,761049,Medium
2506,2024-03-09 00:00:00,Morning,Haze,Damaged,83,77,Phone,Working,3,9,453917,High
2088,2023-01-05 00:00:00,Evening,Rain,Dry,117,48,None,Working,2,5,855834,Medium
3271,2024-08-22 00:00:00,Afternoon,Clear,Dry,52,23,None,Working,3,8,130044,Medium
4886,2025-02-25 00:00:00,Night,Rain,Water-logged,21,26,None,Not Working,4,0,850989,Low
3603,2023-02-07 00:00:00,Morning,Fog,Dry,102,21,Fatigue,Working,5,6,766587,Medium
2152,2023-11-02 00:00:00,Morning,Clear,Dry,40,108,None,Working,5,0,53145,Low
197,2024-07-25 00:00:00,Evening,Rain,Wet,43,81,Fatigue,Working,2,5,93062,Medium
806,2025-06-03 00:00:00,Evening,Clear,Dry,32,100,Fatigue,Working,3,1,804971,Medium
4983,2024-10-11 00:00:00,Evening,Clear,Damaged,38,86,None,Working,4,4,445996,Medium
4563,2024-07-11 00:00:00,Night,Rain,Dry,20,112,None,Working,4,9,247007,High
1103,2025-11-03 00:00:00,Night,Clear,Wet,46,71,Phone,Not Working,3,6,345737,Medium
3856,2023-05-06 00:00:00,Morning,Clear,Water-logged,108,74,None,Working,3,4,113553,Medium
3726,2024-05-03 00:00:00,Night,Rain,Damaged,111,48,Fatigue,Working,5,8,585223,Medium
4175,2025-01-08 00:00:00,Night,Clear,Water-logged,70,31,None,Working,3,6,896124,Medium
3593,2025-10-25 00:00:00,Evening,Clear,Water-logged,93,30,None,Working,5,5,735684,Medium
3426,2023-04-19 00:00:00,Evening,Clear,Wet,12,51,None,Working,3,9,87267,Medium
890,2025-02-09 00:00:00,Morning,Clear,Dry,20,38,Phone,Working,2,2,889763,Low
1482,2024-05-15 00:00:00,Morning,Clear,Dry,86,40,None,Blinking,2,3,385432,Low
